,YogaPoses,ImageNumbers,label of class_6,label of class_20,label of class_82,_merge
70,Akarna_Dhanurasana,9.jpg,1,8,0,both
72,Akarna_Dhanurasana,77.jpg,1,8,0,both
74,Akarna_Dhanurasana,79.jpg,1,8,0,both
78,Akarna_Dhanurasana,6.jpg,1,8,0,both
79,Akarna_Dhanurasana,58.jpg,1,8,0,both
81,Akarna_Dhanurasana,0_305.jpg,1,8,0,both
82,Akarna_Dhanurasana,106.jpg,1,8,0,both
84,Akarna_Dhanurasana,61.jpg,1,8,0,both
87,Akarna_Dhanurasana,0_54.jpg,1,8,0,both
88,Akarna_Dhanurasana,0_18.jpg,1,8,0,both
89,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,324.jpg,1,5,1,both
90,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,322.jpg,1,5,1,both
91,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,148.jpg,1,5,1,both
92,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,30.jpg,1,5,1,both
93,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,140.jpg,1,5,1,both
96,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,71.jpg,1,5,1,both
97,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,62.jpg,1,5,1,both
99,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,33.jpg,1,5,1,both
101,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,0_54.jpg,1,5,1,both
103,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,104.jpg,1,5,1,both
104,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,254.jpg,1,5,1,both
106,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,3.jpg,1,5,1,both
107,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,83.jpg,1,5,1,both
114,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,12.jpg,1,5,1,both
115,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,27.jpg,1,5,1,both
119,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,144.jpg,1,5,1,both
123,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,34.jpg,1,5,1,both
124,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,122.jpg,1,5,1,both
130,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,95.jpg,1,5,1,both
131,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,42.jpg,1,5,1,both
134,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,60.jpg,1,5,1,both
137,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,141.jpg,1,5,1,both
139,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,147.jpg,1,5,1,both
141,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,434.jpg,1,5,1,both
145,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,26.jpg,1,5,1,both
146,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,32.jpg,1,5,1,both
147,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,198.jpg,1,5,1,both
149,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,449.jpg,1,5,1,both
150,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,49.jpg,1,5,1,both
152,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,16.jpg,1,5,1,both
154,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,25.jpg,1,5,1,both
155,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,142.jpg,1,5,1,both
158,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,0_109.jpg,1,5,1,both
159,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,279.jpg,1,5,1,both
162,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,24.jpg,1,5,1,both
163,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,77.jpg,1,5,1,both
165,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,127.jpg,1,5,1,both
167,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,241.jpg,1,5,1,both
168,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,163.jpg,1,5,1,both
169,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,674.jpg,1,5,1,both
171,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,58.jpg,1,5,1,both
172,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,157.jpg,1,5,1,both
173,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,15.jpg,1,5,1,both
174,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,115.jpg,1,5,1,both
175,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,685.jpg,1,5,1,both
177,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,0_156.jpg,1,5,1,both
179,Bharadvaja's_Twist_pose_or_Bharadvajasana_I_,0_47.jpg,1,5,1,both
181,Boat_Pose_or_Paripurna_Navasana_,500.jpg,5,19,2,both
183,Boat_Pose_or_Paripurna_Navasana_,332.jpg,5,19,2,both
184,Boat_Pose_or_Paripurna_Navasana_,199.jpg,5,19,2,both
186,Boat_Pose_or_Paripurna_Navasana_,161.jpg,5,19,2,both
187,Boat_Pose_or_Paripurna_Navasana_,465.jpg,5,19,2,both
189,Boat_Pose_or_Paripurna_Navasana_,443.jpg,5,19,2,both
190,Boat_Pose_or_Paripurna_Navasana_,193.jpg,5,19,2,both
191,Boat_Pose_or_Paripurna_Navasana_,194.jpg,5,19,2,both
192,Boat_Pose_or_Paripurna_Navasana_,389.jpg,5,19,2,both
193,Boat_Pose_or_Paripurna_Navasana_,185.jpg,5,19,2,both
194,Boat_Pose_or_Paripurna_Navasana_,428.jpg,5,19,2,both
197,Boat_Pose_or_Paripurna_Navasana_,0_166.jpg,5,19,2,both
200,Boat_Pose_or_Paripurna_Navasana_,498.jpg,5,19,2,both
201,Boat_Pose_or_Paripurna_Navasana_,537.jpg,5,19,2,both
203,Boat_Pose_or_Paripurna_Navasana_,343.jpg,5,19,2,both
204,Boat_Pose_or_Paripurna_Navasana_,0_568.jpg,5,19,2,both
207,Boat_Pose_or_Paripurna_Navasana_,285.jpg,5,19,2,both
212,Boat_Pose_or_Paripurna_Navasana_,481.jpg,5,19,2,both
213,Boat_Pose_or_Paripurna_Navasana_,188.jpg,5,19,2,both
220,Boat_Pose_or_Paripurna_Navasana_,366.jpg,5,19,2,both
221,Boat_Pose_or_Paripurna_Navasana_,0_518.jpg,5,19,2,both
223,Boat_Pose_or_Paripurna_Navasana_,547.jpg,5,19,2,both
225,Boat_Pose_or_Paripurna_Navasana_,439.jpg,5,19,2,both
226,Boat_Pose_or_Paripurna_Navasana_,420.jpg,5,19,2,both
227,Boat_Pose_or_Paripurna_Navasana_,0_385.jpg,5,19,2,both
230,Boat_Pose_or_Paripurna_Navasana_,0_628.jpg,5,19,2,both
231,Boat_Pose_or_Paripurna_Navasana_,386.jpg,5,19,2,both
232,Boat_Pose_or_Paripurna_Navasana_,646.jpg,5,19,2,both
233,Boat_Pose_or_Paripurna_Navasana_,554.jpg,5,19,2,both
234,Boat_Pose_or_Paripurna_Navasana_,361.jpg,5,19,2,both
236,Boat_Pose_or_Paripurna_Navasana_,0_299.jpg,5,19,2,both
238,Boat_Pose_or_Paripurna_Navasana_,532.jpg,5,19,2,both
239,Boat_Pose_or_Paripurna_Navasana_,471.jpg,5,19,2,both
242,Boat_Pose_or_Paripurna_Navasana_,236.jpg,5,19,2,both
243,Boat_Pose_or_Paripurna_Navasana_,0_567.jpg,5,19,2,both
244,Boat_Pose_or_Paripurna_Navasana_,0_479.jpg,5,19,2,both
248,Boat_Pose_or_Paripurna_Navasana_,503.jpg,5,19,2,both
250,Boat_Pose_or_Paripurna_Navasana_,252.jpg,5,19,2,both
255,Boat_Pose_or_Paripurna_Navasana_,357.jpg,5,19,2,both
256,Boat_Pose_or_Paripurna_Navasana_,541.jpg,5,19,2,both
257,Boat_Pose_or_Paripurna_Navasana_,526.jpg,5,19,2,both
258,Boat_Pose_or_Paripurna_Navasana_,208.jpg,5,19,2,both
259,Boat_Pose_or_Paripurna_Navasana_,235.jpg,5,19,2,both
263,Boat_Pose_or_Paripurna_Navasana_,0_338.jpg,5,19,2,both
266,Boat_Pose_or_Paripurna_Navasana_,455.jpg,5,19,2,both
269,Boat_Pose_or_Paripurna_Navasana_,441.jpg,5,19,2,both
270,Boat_Pose_or_Paripurna_Navasana_,434.jpg,5,19,2,both
271,Boat_Pose_or_Paripurna_Navasana_,184.jpg,5,19,2,both
272,Boat_Pose_or_Paripurna_Navasana_,442.jpg,5,19,2,both
277,Boat_Pose_or_Paripurna_Navasana_,0_340.jpg,5,19,2,both
278,Boat_Pose_or_Paripurna_Navasana_,0_469.jpg,5,19,2,both
280,Boat_Pose_or_Paripurna_Navasana_,0_336.jpg,5,19,2,both
281,Boat_Pose_or_Paripurna_Navasana_,0_382.jpg,5,19,2,both
283,Boat_Pose_or_Paripurna_Navasana_,254.jpg,5,19,2,both
284,Boat_Pose_or_Paripurna_Navasana_,173.jpg,5,19,2,both
286,Boat_Pose_or_Paripurna_Navasana_,565.jpg,5,19,2,both
289,Boat_Pose_or_Paripurna_Navasana_,450.jpg,5,19,2,both
290,Boat_Pose_or_Paripurna_Navasana_,167.jpg,5,19,2,both
291,Boat_Pose_or_Paripurna_Navasana_,211.jpg,5,19,2,both
292,Boat_Pose_or_Paripurna_Navasana_,272.jpg,5,19,2,both
296,Boat_Pose_or_Paripurna_Navasana_,0_418.jpg,5,19,2,both
297,Boat_Pose_or_Paripurna_Navasana_,216.jpg,5,19,2,both
300,Boat_Pose_or_Paripurna_Navasana_,363.jpg,5,19,2,both
302,Boat_Pose_or_Paripurna_Navasana_,143.jpg,5,19,2,both
305,Boat_Pose_or_Paripurna_Navasana_,0_266.jpg,5,19,2,both
307,Boat_Pose_or_Paripurna_Navasana_,622.jpg,5,19,2,both
308,Boat_Pose_or_Paripurna_Navasana_,160.jpg,5,19,2,both
310,Boat_Pose_or_Paripurna_Navasana_,0_230.jpg,5,19,2,both
311,Boat_Pose_or_Paripurna_Navasana_,0_636.jpg,5,19,2,both
312,Boat_Pose_or_Paripurna_Navasana_,0_359.jpg,5,19,2,both
313,Boat_Pose_or_Paripurna_Navasana_,317.jpg,5,19,2,both
314,Boat_Pose_or_Paripurna_Navasana_,226.jpg,5,19,2,both
320,Boat_Pose_or_Paripurna_Navasana_,508.jpg,5,19,2,both
321,Boat_Pose_or_Paripurna_Navasana_,639.jpg,5,19,2,both
323,Boat_Pose_or_Paripurna_Navasana_,494.jpg,5,19,2,both
324,Boat_Pose_or_Paripurna_Navasana_,424.jpg,5,19,2,both
327,Boat_Pose_or_Paripurna_Navasana_,556.jpg,5,19,2,both
328,Boat_Pose_or_Paripurna_Navasana_,384.jpg,5,19,2,both
330,Boat_Pose_or_Paripurna_Navasana_,467.jpg,5,19,2,both
334,Boat_Pose_or_Paripurna_Navasana_,306.jpg,5,19,2,both
337,Boat_Pose_or_Paripurna_Navasana_,0_200.jpg,5,19,2,both
338,Boat_Pose_or_Paripurna_Navasana_,431.jpg,5,19,2,both
342,Boat_Pose_or_Paripurna_Navasana_,435.jpg,5,19,2,both
343,Boat_Pose_or_Paripurna_Navasana_,310.jpg,5,19,2,both
344,Boat_Pose_or_Paripurna_Navasana_,408.jpg,5,19,2,both
345,Boat_Pose_or_Paripurna_Navasana_,264.jpg,5,19,2,both
350,Boat_Pose_or_Paripurna_Navasana_,456.jpg,5,19,2,both
351,Boat_Pose_or_Paripurna_Navasana_,0_427.jpg,5,19,2,both
352,Boat_Pose_or_Paripurna_Navasana_,312.jpg,5,19,2,both
353,Boat_Pose_or_Paripurna_Navasana_,0_627.jpg,5,19,2,both
355,Boat_Pose_or_Paripurna_Navasana_,243.jpg,5,19,2,both
356,Boat_Pose_or_Paripurna_Navasana_,144.jpg,5,19,2,both
357,Boat_Pose_or_Paripurna_Navasana_,238.jpg,5,19,2,both
360,Boat_Pose_or_Paripurna_Navasana_,217.jpg,5,19,2,both
364,Boat_Pose_or_Paripurna_Navasana_,452.jpg,5,19,2,both
366,Boat_Pose_or_Paripurna_Navasana_,590.jpg,5,19,2,both
368,Boat_Pose_or_Paripurna_Navasana_,0_292.jpg,5,19,2,both
369,Boat_Pose_or_Paripurna_Navasana_,562.jpg,5,19,2,both
370,Boat_Pose_or_Paripurna_Navasana_,314.jpg,5,19,2,both
371,Boat_Pose_or_Paripurna_Navasana_,0_137.jpg,5,19,2,both
372,Boat_Pose_or_Paripurna_Navasana_,504.jpg,5,19,2,both
375,Boat_Pose_or_Paripurna_Navasana_,0_298.jpg,5,19,2,both
376,Boat_Pose_or_Paripurna_Navasana_,625.jpg,5,19,2,both
378,Boat_Pose_or_Paripurna_Navasana_,569.jpg,5,19,2,both
379,Boat_Pose_or_Paripurna_Navasana_,447.jpg,5,19,2,both
381,Boat_Pose_or_Paripurna_Navasana_,327.jpg,5,19,2,both
386,Boat_Pose_or_Paripurna_Navasana_,249.jpg,5,19,2,both
388,Boat_Pose_or_Paripurna_Navasana_,587.jpg,5,19,2,both
389,Boat_Pose_or_Paripurna_Navasana_,0_440.jpg,5,19,2,both
390,Boat_Pose_or_Paripurna_Navasana_,281.jpg,5,19,2,both
394,Boat_Pose_or_Paripurna_Navasana_,224.jpg,5,19,2,both
395,Boat_Pose_or_Paripurna_Navasana_,529.jpg,5,19,2,both
396,Boat_Pose_or_Paripurna_Navasana_,0_367.jpg,5,19,2,both
397,Boat_Pose_or_Paripurna_Navasana_,0_396.jpg,5,19,2,both
400,Boat_Pose_or_Paripurna_Navasana_,352.jpg,5,19,2,both
401,Boat_Pose_or_Paripurna_Navasana_,555.jpg,5,19,2,both
404,Boat_Pose_or_Paripurna_Navasana_,374.jpg,5,19,2,both
405,Boat_Pose_or_Paripurna_Navasana_,250.jpg,5,19,2,both
408,Boat_Pose_or_Paripurna_Navasana_,277.jpg,5,19,2,both
414,Boat_Pose_or_Paripurna_Navasana_,0_478.jpg,5,19,2,both
417,Boat_Pose_or_Paripurna_Navasana_,275.jpg,5,19,2,both
419,Boat_Pose_or_Paripurna_Navasana_,616.jpg,5,19,2,both
426,Boat_Pose_or_Paripurna_Navasana_,414.jpg,5,19,2,both
427,Boat_Pose_or_Paripurna_Navasana_,393.jpg,5,19,2,both
428,Boat_Pose_or_Paripurna_Navasana_,488.jpg,5,19,2,both
429,Boat_Pose_or_Paripurna_Navasana_,591.jpg,5,19,2,both
432,Boat_Pose_or_Paripurna_Navasana_,256.jpg,5,19,2,both
433,Boat_Pose_or_Paripurna_Navasana_,553.jpg,5,19,2,both
438,Boat_Pose_or_Paripurna_Navasana_,436.jpg,5,19,2,both
439,Boat_Pose_or_Paripurna_Navasana_,365.jpg,5,19,2,both
442,Boat_Pose_or_Paripurna_Navasana_,240.jpg,5,19,2,both
443,Boat_Pose_or_Paripurna_Navasana_,634.jpg,5,19,2,both
445,Boat_Pose_or_Paripurna_Navasana_,433.jpg,5,19,2,both
448,Boat_Pose_or_Paripurna_Navasana_,387.jpg,5,19,2,both
450,Boat_Pose_or_Paripurna_Navasana_,0_145.jpg,5,19,2,both
452,Boat_Pose_or_Paripurna_Navasana_,519.jpg,5,19,2,both
454,Boat_Pose_or_Paripurna_Navasana_,0_542.jpg,5,19,2,both
457,Boat_Pose_or_Paripurna_Navasana_,0_274.jpg,5,19,2,both
458,Boat_Pose_or_Paripurna_Navasana_,545.jpg,5,19,2,both
460,Boat_Pose_or_Paripurna_Navasana_,0_284.jpg,5,19,2,both
461,Boat_Pose_or_Paripurna_Navasana_,0_331.jpg,5,19,2,both
463,Boat_Pose_or_Paripurna_Navasana_,580.jpg,5,19,2,both
465,Boat_Pose_or_Paripurna_Navasana_,172.jpg,5,19,2,both
467,Boat_Pose_or_Paripurna_Navasana_,485.jpg,5,19,2,both
471,Boat_Pose_or_Paripurna_Navasana_,168.jpg,5,19,2,both
472,Boat_Pose_or_Paripurna_Navasana_,353.jpg,5,19,2,both
475,Boat_Pose_or_Paripurna_Navasana_,278.jpg,5,19,2,both
480,Boat_Pose_or_Paripurna_Navasana_,294.jpg,5,19,2,both
483,Boat_Pose_or_Paripurna_Navasana_,381.jpg,5,19,2,both
484,Boat_Pose_or_Paripurna_Navasana_,0_139.jpg,5,19,2,both
486,Boat_Pose_or_Paripurna_Navasana_,289.jpg,5,19,2,both
490,Boat_Pose_or_Paripurna_Navasana_,516.jpg,5,19,2,both
491,Boat_Pose_or_Paripurna_Navasana_,0_303.jpg,5,19,2,both
493,Boat_Pose_or_Paripurna_Navasana_,165.jpg,5,19,2,both
496,Boat_Pose_or_Paripurna_Navasana_,586.jpg,5,19,2,both
497,Boat_Pose_or_Paripurna_Navasana_,405.jpg,5,19,2,both
498,Boat_Pose_or_Paripurna_Navasana_,225.jpg,5,19,2,both
502,Boat_Pose_or_Paripurna_Navasana_,0_319.jpg,5,19,2,both
503,Boat_Pose_or_Paripurna_Navasana_,0_233.jpg,5,19,2,both
506,Boat_Pose_or_Paripurna_Navasana_,0_486.jpg,5,19,2,both
507,Boat_Pose_or_Paripurna_Navasana_,608.jpg,5,19,2,both
510,Boat_Pose_or_Paripurna_Navasana_,198.jpg,5,19,2,both
513,Boat_Pose_or_Paripurna_Navasana_,560.jpg,5,19,2,both
515,Boat_Pose_or_Paripurna_Navasana_,572.jpg,5,19,2,both
516,Boat_Pose_or_Paripurna_Navasana_,159.jpg,5,19,2,both
518,Boat_Pose_or_Paripurna_Navasana_,535.jpg,5,19,2,both
519,Boat_Pose_or_Paripurna_Navasana_,379.jpg,5,19,2,both
520,Boat_Pose_or_Paripurna_Navasana_,164.jpg,5,19,2,both
521,Boat_Pose_or_Paripurna_Navasana_,371.jpg,5,19,2,both
523,Boat_Pose_or_Paripurna_Navasana_,270.jpg,5,19,2,both
525,Boat_Pose_or_Paripurna_Navasana_,0_612.jpg,5,19,2,both
530,Boat_Pose_or_Paripurna_Navasana_,146.jpg,5,19,2,both
537,Boat_Pose_or_Paripurna_Navasana_,0_373.jpg,5,19,2,both
538,Boat_Pose_or_Paripurna_Navasana_,152.jpg,5,19,2,both
539,Boat_Pose_or_Paripurna_Navasana_,348.jpg,5,19,2,both
540,Boat_Pose_or_Paripurna_Navasana_,0_544.jpg,5,19,2,both
541,Boat_Pose_or_Paripurna_Navasana_,0_588.jpg,5,19,2,both
544,Boat_Pose_or_Paripurna_Navasana_,576.jpg,5,19,2,both
545,Boat_Pose_or_Paripurna_Navasana_,540.jpg,5,19,2,both
547,Boat_Pose_or_Paripurna_Navasana_,297.jpg,5,19,2,both
550,Boat_Pose_or_Paripurna_Navasana_,0_329.jpg,5,19,2,both
552,Boat_Pose_or_Paripurna_Navasana_,0_412.jpg,5,19,2,both
553,Boat_Pose_or_Paripurna_Navasana_,0_401.jpg,5,19,2,both
556,Boat_Pose_or_Paripurna_Navasana_,0_507.jpg,5,19,2,both
557,Boat_Pose_or_Paripurna_Navasana_,0_337.jpg,5,19,2,both
558,Boat_Pose_or_Paripurna_Navasana_,0_484.jpg,5,19,2,both
559,Boat_Pose_or_Paripurna_Navasana_,0_403.jpg,5,19,2,both
560,Boat_Pose_or_Paripurna_Navasana_,0_262.jpg,5,19,2,both
561,Boat_Pose_or_Paripurna_Navasana_,0_550.jpg,5,19,2,both
567,Boat_Pose_or_Paripurna_Navasana_,0_415.jpg,5,19,2,both
568,Boat_Pose_or_Paripurna_Navasana_,0_480.jpg,5,19,2,both
571,Boat_Pose_or_Paripurna_Navasana_,0_474.jpg,5,19,2,both
573,Boat_Pose_or_Paripurna_Navasana_,0_370.jpg,5,19,2,both
574,Boat_Pose_or_Paripurna_Navasana_,0_142.jpg,5,19,2,both
575,Boat_Pose_or_Paripurna_Navasana_,0_156.jpg,5,19,2,both
577,Boat_Pose_or_Paripurna_Navasana_,0_522.jpg,5,19,2,both
578,Bound_Angle_Pose_or_Baddha_Konasana_,2_306.jpg,1,4,3,both
579,Bound_Angle_Pose_or_Baddha_Konasana_,2_271.jpg,1,4,3,both
580,Bound_Angle_Pose_or_Baddha_Konasana_,1_496.jpg,1,4,3,both
582,Bound_Angle_Pose_or_Baddha_Konasana_,1_589.jpg,1,4,3,both
588,Bound_Angle_Pose_or_Baddha_Konasana_,1_96.jpg,1,4,3,both
590,Bound_Angle_Pose_or_Baddha_Konasana_,1_511.jpg,1,4,3,both
592,Bound_Angle_Pose_or_Baddha_Konasana_,1_532.jpg,1,4,3,both
595,Bound_Angle_Pose_or_Baddha_Konasana_,1_439.jpg,1,4,3,both
597,Bound_Angle_Pose_or_Baddha_Konasana_,1_135.jpg,1,4,3,both
600,Bound_Angle_Pose_or_Baddha_Konasana_,2_293.jpg,1,4,3,both
601,Bound_Angle_Pose_or_Baddha_Konasana_,1_358.jpg,1,4,3,both
602,Bound_Angle_Pose_or_Baddha_Konasana_,1_352.jpg,1,4,3,both
603,Bound_Angle_Pose_or_Baddha_Konasana_,1_429.jpg,1,4,3,both
604,Bound_Angle_Pose_or_Baddha_Konasana_,1_324.jpg,1,4,3,both
605,Bound_Angle_Pose_or_Baddha_Konasana_,1_478.jpg,1,4,3,both
606,Bound_Angle_Pose_or_Baddha_Konasana_,1_17.jpg,1,4,3,both
611,Bound_Angle_Pose_or_Baddha_Konasana_,1_158.jpg,1,4,3,both
614,Bound_Angle_Pose_or_Baddha_Konasana_,1_596.jpg,1,4,3,both
615,Bound_Angle_Pose_or_Baddha_Konasana_,1_542.jpg,1,4,3,both
617,Bound_Angle_Pose_or_Baddha_Konasana_,2_320.jpg,1,4,3,both
619,Bound_Angle_Pose_or_Baddha_Konasana_,1_0_466.jpg,1,4,3,both
620,Bound_Angle_Pose_or_Baddha_Konasana_,1_533.jpg,1,4,3,both
622,Bound_Angle_Pose_or_Baddha_Konasana_,1_118.jpg,1,4,3,both
625,Bound_Angle_Pose_or_Baddha_Konasana_,1_300.jpg,1,4,3,both
626,Bound_Angle_Pose_or_Baddha_Konasana_,1_470.jpg,1,4,3,both
627,Bound_Angle_Pose_or_Baddha_Konasana_,2_0_326.jpg,1,4,3,both
629,Bound_Angle_Pose_or_Baddha_Konasana_,1_0_78.jpg,1,4,3,both
631,Bound_Angle_Pose_or_Baddha_Konasana_,1_113.jpg,1,4,3,both
632,Bound_Angle_Pose_or_Baddha_Konasana_,1_613.jpg,1,4,3,both
634,Bound_Angle_Pose_or_Baddha_Konasana_,1_503.jpg,1,4,3,both
636,Bound_Angle_Pose_or_Baddha_Konasana_,1_240.jpg,1,4,3,both
638,Bound_Angle_Pose_or_Baddha_Konasana_,1_484.jpg,1,4,3,both
639,Bound_Angle_Pose_or_Baddha_Konasana_,1_82.jpg,1,4,3,both
641,Bound_Angle_Pose_or_Baddha_Konasana_,1_10.jpg,1,4,3,both
642,Bound_Angle_Pose_or_Baddha_Konasana_,1_211.jpg,1,4,3,both
644,Bound_Angle_Pose_or_Baddha_Konasana_,1_122.jpg,1,4,3,both
645,Bound_Angle_Pose_or_Baddha_Konasana_,1_559.jpg,1,4,3,both
648,Bound_Angle_Pose_or_Baddha_Konasana_,1_56.jpg,1,4,3,both
651,Bound_Angle_Pose_or_Baddha_Konasana_,1_0_127.jpg,1,4,3,both
652,Bound_Angle_Pose_or_Baddha_Konasana_,1_298.jpg,1,4,3,both
654,Bound_Angle_Pose_or_Baddha_Konasana_,1_259.jpg,1,4,3,both
661,Bound_Angle_Pose_or_Baddha_Konasana_,1_0_163.jpg,1,4,3,both
662,Bound_Angle_Pose_or_Baddha_Konasana_,1_507.jpg,1,4,3,both
663,Bound_Angle_Pose_or_Baddha_Konasana_,1_250.jpg,1,4,3,both
666,Bound_Angle_Pose_or_Baddha_Konasana_,2_0_217.jpg,1,4,3,both
667,Bound_Angle_Pose_or_Baddha_Konasana_,1_230.jpg,1,4,3,both
671,Bound_Angle_Pose_or_Baddha_Konasana_,1_0_115.jpg,1,4,3,both
672,Bound_Angle_Pose_or_Baddha_Konasana_,1_129.jpg,1,4,3,both
673,Bound_Angle_Pose_or_Baddha_Konasana_,1_224.jpg,1,4,3,both
675,Bound_Angle_Pose_or_Baddha_Konasana_,1_177.jpg,1,4,3,both
679,Bound_Angle_Pose_or_Baddha_Konasana_,1_529.jpg,1,4,3,both
680,Bound_Angle_Pose_or_Baddha_Konasana_,1_543.jpg,1,4,3,both
681,Bound_Angle_Pose_or_Baddha_Konasana_,1_641.jpg,1,4,3,both
683,Bound_Angle_Pose_or_Baddha_Konasana_,1_550.jpg,1,4,3,both
689,Bound_Angle_Pose_or_Baddha_Konasana_,1_238.jpg,1,4,3,both
693,Bound_Angle_Pose_or_Baddha_Konasana_,2_230.jpg,1,4,3,both
694,Bound_Angle_Pose_or_Baddha_Konasana_,2_310.jpg,1,4,3,both
701,Bound_Angle_Pose_or_Baddha_Konasana_,1_0_256.jpg,1,4,3,both
705,Bound_Angle_Pose_or_Baddha_Konasana_,2_0_307.jpg,1,4,3,both
711,Bound_Angle_Pose_or_Baddha_Konasana_,1_217.jpg,1,4,3,both
712,Bound_Angle_Pose_or_Baddha_Konasana_,1_25.jpg,1,4,3,both
713,Bound_Angle_Pose_or_Baddha_Konasana_,1_286.jpg,1,4,3,both
715,Bound_Angle_Pose_or_Baddha_Konasana_,1_448.jpg,1,4,3,both
719,Bound_Angle_Pose_or_Baddha_Konasana_,1_434.jpg,1,4,3,both
720,Bound_Angle_Pose_or_Baddha_Konasana_,1_176.jpg,1,4,3,both
723,Bound_Angle_Pose_or_Baddha_Konasana_,1_252.jpg,1,4,3,both
